width,height
80.45428466796875,258.1857604980469
80.5025634765625,257.8376159667969
80.768310546875,257.7077941894531
80.7318115234375,258.8105163574219
80.869384765625,259.01873779296875
80.86419677734375,258.69757080078125
80.78509521484375,258.9891357421875
81.194580078125,258.6637268066406
81.3525390625,259.0188903808594
81.4962158203125,258.9183654785156
81.49017333984375,259.1169128417969
81.58038330078125,258.6130676269531
81.5184326171875,259.523681640625
81.548583984375,260.25433349609375
81.6727294921875,258.6296081542969
80.95501708984375,259.1169738769531
80.9610595703125,257.84796142578125
81.1329345703125,257.44976806640625
81.8370361328125,257.4291687011719
81.359619140625,258.02587890625
81.2568359375,258.8066711425781
81.6307373046875,258.86297607421875
81.93304443359375,258.59539794921875
81.28802490234375,257.7403869628906
81.11395263671875,259.150146484375
80.10748291015625,259.8218994140625
79.96478271484375,260.9591064453125
79.6077880859375,259.9118347167969
78.93414306640625,260.9148864746094
79.341552734375,260.8877258300781
79.8275146484375,261.17449951171875
82.98211669921875,257.61688232421875
84.525390625,255.45675659179688
84.41845703125,255.59405517578125
82.41668701171875,261.1262512207031
83.56890869140625,263.5774841308594
83.9581298828125,265.90679931640625
84.6429443359375,269.083251953125
89.43780517578125,275.68695068359375
93.7623291015625,270.370361328125
95.56500244140625,270.9064025878906
110.64263916015625,268.9642639160156
119.06640625,273.08563232421875
125.42559814453125,281.56744384765625
126.1251220703125,284.3879089355469
125.08111572265625,291.1034698486328
140.59320068359375,278.8259735107422
143.35162353515625,282.21434020996094
144.93853759765625,283.3939666748047
127.19927978515625,301.88299560546875
127.31005859375,301.0051574707031
130.30767822265625,299.5241394042969
129.2623291015625,303.13648986816406
124.94677734375,299.6186828613281
116.24395751953125,303.95188903808594
110.157470703125,303.49053955078125
105.53668212890625,297.06727600097656
99.44976806640625,288.5279846191406
92.31884765625,288.0645294189453
89.1434326171875,295.07757568359375
83.893798828125,352.7586669921875
81.57867431640625,284.20558166503906
80.70172119140625,276.0536193847656
82.447998046875,277.06166076660156
82.7623291015625,272.66436767578125
84.5455322265625,267.4804992675781
86.99810791015625,257.7580261230469
87.16192626953125,247.7716064453125
91.41400146484375,243.46087646484375
94.9677734375,250.04647827148438
92.053466796875,246.8795166015625
95.5899658203125,258.9845886230469
106.697021484375,260.7646789550781
115.87982177734375,282.4646301269531
114.72821044921875,295.4019317626953
116.49713134765625,356.2590637207031
122.5623779296875,345.04278564453125
131.7784423828125,339.91082763671875
133.11456298828125,287.1626281738281
134.1849365234375,274.7164306640625
141.18072509765625,227.109375
168.5501708984375,231.03842163085938
169.37139892578125,228.7667236328125
169.5802001953125,223.33535766601562
166.11724853515625,214.88601684570312
158.271728515625,207.72491455078125
146.25140380859375,204.97817993164062
138.82745361328125,207.1629638671875
131.53790283203125,211.62130737304688
118.09344482421875,216.69204711914062
102.36334228515625,219.20269775390625
96.29327392578125,222.6732177734375
95.07037353515625,223.18460083007812
90.37384033203125,225.89041137695312
78.52978515625,230.94296264648438
74.9500732421875,230.0234375
80.41119384765625,233.30255126953125
82.88702392578125,229.49356079101562
85.743896484375,232.72225952148438
88.27960205078125,240.92898559570312
90.06561279296875,242.47103881835938
97.50811767578125,234.9996337890625
104.87078857421875,235.43563842773438
114.4639892578125,241.58096313476562
121.86187744140625,253.01522827148438
125.0775146484375,244.392822265625
123.7509765625,249.20144653320312
125.44049072265625,253.06253051757812
124.71795654296875,251.98309326171875
109.27398681640625,253.51202392578125
106.7652587890625,256.2024230957031
108.73846435546875,252.44366455078125
107.0484619140625,248.17416381835938
104.78070068359375,238.89462280273438
105.27069091796875,234.96658325195312
112.33587646484375,242.14483642578125
118.2171630859375,241.43484497070312
121.83526611328125,246.55889892578125
119.4176025390625,241.60470581054688
115.4493408203125,237.86886596679688
116.4322509765625,242.61572265625
120.1275634765625,237.87109375
109.15777587890625,236.8489990234375
108.04022216796875,230.88980102539062
97.827880859375,228.0250244140625
94.05950927734375,225.85208129882812
86.94677734375,221.9005126953125
92.4254150390625,215.81845092773438
94.50537109375,210.05157470703125
100.24029541015625,204.45819091796875
109.24945068359375,199.94754028320312
114.64697265625,199.122802734375
119.65966796875,197.66073608398438
126.515380859375,198.02578735351562
141.01654052734375,220.47073364257812
130.1435546875,223.50875854492188
122.153076171875,218.02413940429688
140.1473388671875,225.91098022460938
111.73602294921875,232.4637451171875
111.0555419921875,236.89224243164062
108.7340087890625,235.5128173828125
121.34423828125,237.21548461914062
107.12957763671875,228.71405029296875
108.082275390625,240.76034545898438
98.3980712890625,236.25241088867188
109.19970703125,223.85690307617188
116.351806640625,229.12933349609375
140.67230224609375,216.90814208984375
169.60137939453125,242.35479736328125
178.614501953125,266.28729248046875
180.74945068359375,274.29156494140625
179.51715087890625,284.11517333984375
169.3548583984375,287.8409423828125
135.50225830078125,285.9322814941406
120.1756591796875,293.99951171875
112.80572509765625,300.068115234375
131.6474609375,320.1886901855469
137.20550537109375,314.57110595703125
133.94549560546875,310.5759582519531
127.0250244140625,308.774658203125
118.00274658203125,317.6995544433594
99.91424560546875,309.5804138183594
90.29998779296875,294.7766418457031
77.412109375,307.8464660644531
65.4234619140625,242.74813842773438
58.16815185546875,245.21780395507812
41.5,199.46725463867188
29.3226318359375,223.69387817382812
16.468017578125,292.95489501953125
13.6875,264.9761199951172
19.28558349609375,47.90924072265625
16.413330078125,197.6345672607422
15.144775390625,94.95556640625
19.12432861328125,43.674713134765625
19.30718994140625,43.584930419921875
19.24658203125,43.410980224609375
19.2584228515625,44.25238037109375
34.461669921875,411.3148498535156
19.0478515625,45.27947998046875
35.37652587890625,408.55450439453125
