x,y
684.0944213867188,372.3299255371094
684.0301513671875,372.18365478515625
683.9011840820312,372.0716857910156
683.9508056640625,371.8916015625
683.938232421875,371.86444091796875
683.8543701171875,371.82879638671875
683.853515625,372.0856628417969
683.8763427734375,372.1256408691406
683.8502807617188,371.99615478515625
683.9429931640625,372.1563720703125
683.935791015625,372.1260681152344
683.874267578125,372.0398864746094
684.0280151367188,372.12506103515625
684.0850219726562,372.2488708496094
683.8328857421875,372.0846252441406
683.66943359375,372.21783447265625
683.5347900390625,371.6913146972656
683.5303344726562,371.97796630859375
683.5291137695312,372.1183166503906
683.3799438476562,372.1658630371094
683.46142578125,372.5040588378906
683.5130615234375,372.8088684082031
683.4931030273438,372.97247314453125
683.5558471679688,373.41778564453125
683.98193359375,373.8319091796875
684.1510009765625,374.4279479980469
684.5472412109375,374.8486022949219
685.0819702148438,374.9544372558594
684.9992065429688,375.10040283203125
685.266845703125,375.8441162109375
685.6636352539062,376.1889343261719
686.5121459960938,376.45196533203125
686.1466674804688,376.8199462890625
686.1363525390625,376.7926330566406
686.5026245117188,377.42913818359375
686.5819702148438,377.6632995605469
686.9094848632812,377.67041015625
685.256591796875,377.7764892578125
684.3931274414062,376.80078125
683.9122314453125,376.06793212890625
683.4306030273438,374.68756103515625
683.35791015625,374.8772888183594
683.2034301757812,374.24346923828125
683.3613891601562,373.5073547363281
682.5877685546875,373.78515625
683.0177001953125,372.34991455078125
684.0075073242188,372.5933837890625
684.0003051757812,373.5127258300781
473.3472595214844,323.8852233886719
682.2955932617188,372.0645751953125
682.17138671875,373.02691650390625
682.5026245117188,374.0088195800781
683.6285400390625,374.52703857421875
684.89453125,374.8131103515625
685.1393432617188,373.742431640625
685.3770751953125,373.5676574707031
684.6619262695312,374.79901123046875
684.9490966796875,375.085205078125
684.6777954101562,376.4490051269531
684.1015014648438,376.78436279296875
683.4232788085938,365.9750671386719
684.1934814453125,375.8997497558594
683.8046264648438,369.29656982421875
682.8602905273438,372.0608215332031
681.2337036132812,374.4524230957031
680.6680297851562,382.6621398925781
679.6657104492188,382.6595458984375
678.8831787109375,382.8411560058594
676.164794921875,378.97772216796875
674.8890991210938,376.8115234375
672.912353515625,372.20166015625
670.7387084960938,366.44232177734375
669.955078125,361.55377197265625
669.4757080078125,354.8523254394531
667.3192138671875,351.71160888671875
666.4093627929688,347.708984375
665.8131713867188,345.454345703125
663.1663818359375,346.321044921875
662.3572998046875,349.4187316894531
661.0213012695312,354.1139831542969
659.9239501953125,357.42340087890625
661.4012451171875,360.90789794921875
659.1734619140625,365.2003479003906
657.97900390625,368.2456359863281
658.6148681640625,369.3411560058594
657.8507690429688,369.77960205078125
657.345458984375,370.3930969238281
656.6709594726562,370.2954406738281
657.207275390625,370.48284912109375
655.265625,370.09527587890625
653.8017578125,370.48504638671875
652.6909790039062,370.0616149902344
650.982421875,369.8069763183594
649.1915283203125,369.54901123046875
