width,height
231.3790283203125,511.3097496032715
231.10458374023438,510.4834976196289
234.15185546875,511.3269233703613
225.82945251464844,533.3800811767578
224.97433471679688,547.7005996704102
227.31861877441406,544.5306625366211
231.75340270996094,537.5145530700684
241.7427978515625,532.1944732666016
247.53529357910156,534.0575065612793
251.94110107421875,525.9814186096191
251.78282165527344,499.18114471435547
249.5610809326172,497.9872283935547
251.5584716796875,493.49530029296875
261.8138961791992,487.1182632446289
265.8246383666992,490.7605285644531
272.47754669189453,486.1900405883789
280.7310791015625,485.5645980834961
295.20008850097656,485.9906539916992
323.59783935546875,489.5684127807617
320.74400329589844,493.3702926635742
349.6841583251953,489.8544921875
308.4065704345703,482.4013977050781
301.942626953125,500.31263732910156
319.3888854980469,478.4073791503906
334.19244384765625,480.51148223876953
378.03614807128906,489.81568145751953
390.0567321777344,509.30467224121094
370.8792419433594,489.7638702392578
334.9911804199219,465.85914611816406
316.99151611328125,486.69395446777344
290.7681579589844,495.6967315673828
262.0982666015625,466.0985412597656
259.7809753417969,470.7627944946289
297.9818115234375,472.41001892089844
285.5036926269531,477.4745864868164
299.9045104980469,476.85396575927734
310.70379638671875,471.3935241699219
310.2825012207031,460.07276916503906
313.2998352050781,457.25099182128906
312.6780090332031,466.87664794921875
322.84722900390625,453.3676528930664
318.81048583984375,458.6169967651367
322.9788818359375,475.6554412841797
290.43060302734375,457.2857131958008
264.4998779296875,481.11775970458984
276.0379638671875,494.4822463989258
239.660888671875,446.31919860839844
228.4827880859375,439.8783874511719
199.27008056640625,449.5193862915039
193.2073974609375,455.48828887939453
201.783203125,434.0508270263672
207.67779541015625,454.84940338134766
202.72528076171875,466.57151794433594
196.253662109375,475.81168365478516
197.75830078125,481.0859069824219
197.52813720703125,470.99625396728516
180.6998291015625,458.3244857788086
191.528564453125,480.3609313964844
180.86602783203125,480.06264877319336
183.256591796875,490.2189483642578
195.32830810546875,474.7850151062012
198.52459716796875,479.0334663391113
220.05181884765625,472.3766860961914
216.3138427734375,481.55273818969727
209.3028564453125,462.2760925292969
216.0660400390625,448.44359588623047
220.6263427734375,447.39186096191406
222.19122314453125,456.91368103027344
221.9176025390625,458.64361572265625
230.35479736328125,455.2543640136719
235.116455078125,457.5549621582031
241.1739501953125,454.6893005371094
241.1348876953125,459.97547912597656
245.2125244140625,488.3615036010742
233.21221923828125,489.9896011352539
219.02294921875,483.90615463256836
214.143798828125,467.1219177246094
218.98712158203125,465.6586380004883
206.99566650390625,483.4590072631836
212.30438232421875,496.8268013000488
183.88775634765625,503.8230323791504
174.47357177734375,494.33789825439453
169.17486572265625,510.08981704711914
168.00128173828125,516.0794486999512
180.54986572265625,508.40726470947266
172.557373046875,511.21560287475586
179.38519287109375,499.81432723999023
185.7159423828125,507.1473159790039
177.17657470703125,521.1506500244141
179.83502197265625,518.1428718566895
186.40655517578125,505.3802146911621
209.060546875,479.94395446777344
218.0992431640625,491.10437774658203
230.69613647460938,501.10124588012695
222.9901123046875,505.411434173584
222.06399536132812,501.5734214782715
238.49481201171875,500.5628776550293
245.32489013671875,500.8877944946289
250.84954833984375,511.3907241821289
240.83865356445312,508.64646911621094
250.25247192382812,491.04443359375
257.2730712890625,488.29176330566406
253.0042724609375,483.97652435302734
258.23931884765625,491.95043182373047
275.77081298828125,493.69583892822266
280.2016296386719,494.00933837890625
282.78076171875,490.00040435791016
283.7513732910156,492.38060760498047
280.252197265625,503.3294677734375
258.5091857910156,484.92501068115234
234.36068725585938,469.71373748779297
209.76559448242188,488.8844223022461
217.6220703125,483.7923583984375
214.26422119140625,467.08331298828125
214.55084228515625,467.1265640258789
237.61282348632812,481.7016067504883
271.9380340576172,490.4701690673828
297.388671875,489.9657669067383
312.9278564453125,479.5948715209961
311.51759338378906,478.6546859741211
313.7306365966797,481.4737091064453
312.6457214355469,469.71602630615234
329.91188049316406,471.5148696899414
309.8357849121094,465.93589782714844
301.7134704589844,463.2551727294922
325.1101837158203,466.1344223022461
313.1100311279297,460.6323699951172
301.6085968017578,456.6694793701172
290.4859313964844,450.90258026123047
272.3420104980469,467.80230712890625
297.9995574951172,471.18541717529297
287.8816375732422,463.15370178222656
267.60972595214844,436.4837188720703
248.21951293945312,423.52247619628906
246.66285705566406,436.7577819824219
222.31959533691406,428.8785095214844
206.9764404296875,428.7262878417969
205.2820281982422,431.2434844970703
187.66995239257812,407.6614074707031
171.57217407226562,405.6766052246094
175.24803161621094,404.9629821777344
185.2886199951172,402.0980987548828
210.43893432617188,404.82749938964844
230.34970092773438,403.0852355957031
242.4608612060547,411.42279052734375
246.73855590820312,412.50640869140625
241.33966064453125,411.6546936035156
233.30722045898438,415.63409423828125
224.92901611328125,402.5950622558594
214.25108337402344,398.12261962890625
237.05014038085938,388.6013946533203
233.35769653320312,394.9298858642578
222.884521484375,389.3312759399414
215.0666046142578,403.15987396240234
193.05157470703125,405.5649871826172
173.65586853027344,412.8374786376953
163.23670959472656,409.29329681396484
158.4994659423828,403.6126708984375
165.7320098876953,405.3950424194336
170.9861297607422,411.23352813720703
168.07435607910156,432.82933044433594
181.8805389404297,418.09703063964844
186.3411865234375,419.5414505004883
181.98997497558594,424.26334381103516
176.79913330078125,415.65267181396484
173.0365753173828,413.6490783691406
176.1566925048828,421.284423828125
178.8503875732422,419.1906433105469
166.2034149169922,417.1035461425781
166.10838317871094,417.5585250854492
146.40945434570312,439.0968017578125
145.61288452148438,450.08412170410156
148.41592407226562,452.41019439697266
143.57870483398438,452.22786712646484
146.27947998046875,456.54388427734375
148.14080810546875,468.6187286376953
157.63314819335938,462.44232177734375
172.28921508789062,457.8820114135742
181.29287719726562,452.28956604003906
185.19622802734375,452.9309997558594
189.1817626953125,447.39075469970703
192.04244995117188,458.37361907958984
195.60671997070312,463.59864807128906
191.12844848632812,463.0867462158203
188.16964721679688,466.6602325439453
185.13522338867188,471.13587188720703
180.44329833984375,479.79258728027344
196.63616943359375,469.71654510498047
185.5186767578125,466.9281768798828
197.86669921875,457.05638122558594
197.91177368164062,457.1394958496094
197.2894287109375,489.62361907958984
200.39501953125,490.0332717895508
199.20071411132812,499.00364685058594
202.33822631835938,468.59740447998047
201.68768310546875,461.8661193847656
201.80087280273438,465.00684356689453
199.63580322265625,467.3379135131836
197.02279663085938,474.18418884277344
201.79254150390625,471.5077362060547
207.02899169921875,468.30574798583984
207.83865356445312,472.8005599975586
210.23138427734375,469.6071548461914
213.19247436523438,462.70330810546875
214.57574462890625,460.08663177490234
217.40106201171875,455.83504486083984
223.2891845703125,447.8728561401367
224.252197265625,442.25914001464844
225.34796142578125,447.9163055419922
235.6217041015625,465.6431350708008
228.63265991210938,462.9142837524414
212.76055908203125,462.91847229003906
214.98855590820312,479.5931091308594
204.10739135742188,458.5106735229492
194.11236572265625,437.45674896240234
193.67709350585938,442.6604995727539
214.03179931640625,444.707275390625
220.75338745117188,444.0988082885742
220.1728515625,459.86324310302734
232.8779296875,456.0452194213867
240.1273193359375,445.93412017822266
250.3314208984375,443.2767639160156
255.155029296875,440.19349670410156
250.69094848632812,439.3459930419922
251.25146484375,425.87633514404297
242.71096801757812,428.3125762939453
233.34259033203125,430.93861389160156
225.47247314453125,431.36551666259766
215.15945434570312,438.73743438720703
209.27737426757812,441.1006317138672
182.85403442382812,449.51206970214844
173.75115966796875,448.83750915527344
166.00021362304688,437.52073669433594
189.69027709960938,446.0479965209961
208.80429077148438,448.18479919433594
229.79464721679688,442.29400634765625
242.27288818359375,436.2137451171875
240.57623291015625,448.6199645996094
220.7490234375,438.71443939208984
198.5302734375,426.1395492553711
189.57968139648438,432.8649444580078
180.86248779296875,449.9844207763672
185.55581665039062,435.98406982421875
186.75921630859375,428.9278793334961
185.900634765625,441.82737731933594
188.31564331054688,440.05030822753906
187.9044189453125,447.65941619873047
195.64877319335938,454.62589263916016
189.82864379882812,444.18634033203125
185.6739501953125,433.6631851196289
177.99392700195312,436.05226135253906
171.947265625,437.08155822753906
176.62677001953125,435.4893798828125
185.58856201171875,440.74510955810547
192.06515502929688,438.1471633911133
187.122314453125,434.96966552734375
190.8394775390625,417.80096435546875
190.75070190429688,408.40367126464844
192.2568359375,411.3585205078125
201.89849853515625,424.43460845947266
205.744140625,420.4400177001953
201.14114379882812,430.24715423583984
204.85104370117188,423.15394592285156
203.73086547851562,422.36585235595703
209.3817138671875,450.4743347167969
201.53475952148438,452.6786193847656
205.00445556640625,460.2621536254883
198.12954711914062,469.18284606933594
