x,y,z
0.06209836155176163,-0.5416472554206848,-0.006902586668729782
0.06226097047328949,-0.540901780128479,-0.006943034008145332
0.05733694136142731,-0.5422094464302063,-0.00740399956703186
0.057049594819545746,-0.5432990193367004,-0.01197815127670765
0.04951944574713707,-0.5544772744178772,-0.020168794319033623
0.05869729071855545,-0.5534958839416504,-0.017793023958802223
0.06271340698003769,-0.5503582954406738,-0.019599419087171555
0.06507590413093567,-0.5480296611785889,-0.02047278732061386
0.06078293174505234,-0.5458097457885742,-0.024459658190608025
0.060876138508319855,-0.5449032783508301,-0.027423102408647537
0.05940284952521324,-0.5473270416259766,-0.03576452285051346
0.059445664286613464,-0.5412741899490356,-0.023859836161136627
0.06673828512430191,-0.5432427525520325,-0.037856217473745346
0.06559386104345322,-0.5432040691375732,-0.03976775333285332
0.05688261613249779,-0.5396467447280884,-0.026930885389447212
0.06290151923894882,-0.5408022403717041,-0.044643010944128036
0.07014459371566772,-0.5447436571121216,-0.04188863933086395
0.0704260841012001,-0.5384719371795654,-0.03869114816188812
0.0746159553527832,-0.5372428894042969,-0.03620748966932297
0.07409035414457321,-0.5392664074897766,-0.047311559319496155
0.08368875086307526,-0.5354816317558289,-0.05049450322985649
0.08404285460710526,-0.5387771129608154,-0.04395921155810356
0.08308862149715424,-0.5383744835853577,-0.04257439821958542
0.08774414658546448,-0.5395405292510986,-0.03989647328853607
0.0851554349064827,-0.5428852438926697,-0.04159144312143326
0.08214523643255234,-0.54142826795578,-0.04098047688603401
0.0836876630783081,-0.5402549505233765,-0.03649808466434479
0.08796750009059906,-0.5393425822257996,-0.03795330226421356
0.08946008235216141,-0.5379509925842285,-0.03957584872841835
0.08958162367343903,-0.5379254817962646,-0.03855874389410019
0.0811462253332138,-0.5383094549179077,-0.035871971398591995
0.08187320828437805,-0.5373364090919495,-0.04047683998942375
0.08449345827102661,-0.5373600125312805,-0.04054505005478859
0.07885586470365524,-0.5410077571868896,-0.03996337950229645
0.07244367897510529,-0.5417646169662476,-0.03349548578262329
0.07788146287202835,-0.5421918034553528,-0.04404857009649277
0.07273667305707932,-0.5414107441902161,-0.048411671072244644
0.06835608929395676,-0.5432255268096924,-0.032228171825408936
0.06509058177471161,-0.5452747344970703,-0.03168083727359772
0.05990610644221306,-0.5452558994293213,-0.03840398043394089
0.054293811321258545,-0.5473500490188599,-0.039820875972509384
0.05744381994009018,-0.5525778532028198,-0.03943709656596184
0.061994705349206924,-0.5483230352401733,-0.046387385576963425
0.055982258170843124,-0.5525138974189758,-0.0308726467192173
0.06274820864200592,-0.5501706004142761,-0.032364215701818466
0.06273029744625092,-0.5491631031036377,-0.023721467703580856
0.07062989473342896,-0.5486065149307251,-0.026848046109080315
0.07344590127468109,-0.549522876739502,-0.022538553923368454
0.07608538866043091,-0.5494356155395508,-0.021985458210110664
0.07955199480056763,-0.5486986041069031,-0.022224614396691322
0.08522693812847137,-0.5490966439247131,-0.021821998059749603
0.08632463961839676,-0.5490716695785522,-0.026433303952217102
0.08652084320783615,-0.5453174114227295,-0.008227815851569176
0.08635780960321426,-0.5482426881790161,-0.02546476572751999
0.08598433434963226,-0.5477297306060791,-0.0296945683658123
0.08242800086736679,-0.5485245585441589,-0.0226324163377285
0.08213014900684357,-0.547860860824585,-0.024281112477183342
0.08113103359937668,-0.5493671894073486,-0.030019091442227364
0.07916323095560074,-0.5498923063278198,-0.032851364463567734
0.07249037176370621,-0.551449179649353,-0.0344524011015892
